method,family,size,sample,SP,modeler,TC,column
mafft_sparsecore,PF00072.27,10000,9,86.7,89.9,20.0,23.6
mafft_sparsecore,PF00072.27,1500,0,86.7,89.2,22.3,26.3
mafft_sparsecore,PF00072.27,1500,1,90.3,92.0,20.0,23.6
mafft_sparsecore,PF00072.27,1500,2,88.9,90.9,26.9,31.7
mafft_sparsecore,PF00072.27,1500,3,88.2,90.7,20.0,23.6
mafft_sparsecore,PF00072.27,1500,4,89.8,91.4,25.4,29.9
mafft_sparsecore,PF00072.27,1500,5,87.9,90.5,26.2,28.1
mafft_sparsecore,PF00072.27,1500,6,88.7,90.5,28.5,31.7
mafft_sparsecore,PF00005.30,1500,7,71.0,75.6,21.8,35.8
mafft_sparsecore,PF00072.27,1500,7,89.9,91.9,21.5,25.4
mafft_sparsecore,PF00072.27,1500,8,89.8,91.3,26.2,30.8
mafft_sparsecore,PF00072.27,1500,9,89.2,91.7,16.2,18.1
mafft_sparsecore,PF00072.27,200000,0,84.6,88.9,16.9,20.0
mafft_sparsecore,PF00072.27,200000,1,88.5,91.8,26.9,31.7
mafft_sparsecore,PF00072.27,200000,2,84.6,89.6,13.1,15.4
mafft_sparsecore,PF00072.27,200000,3,87.3,90.8,29.2,34.5
mafft_sparsecore,PF00072.27,200000,4,87.1,90.4,28.5,31.7
mafft_sparsecore,PF00072.27,200000,5,87.3,91.0,25.4,29.9
mafft_sparsecore,PF00072.27,200000,6,87.7,91.0,28.5,33.6
mafft_sparsecore,PF00005.30,1500,8,67.4,74.7,20.4,33.6
mafft_sparsecore,PF00072.27,200000,7,85.5,89.1,27.7,32.7
mafft_sparsecore,PF00072.27,200000,8,87.1,90.7,23.8,28.1
mafft_sparsecore,PF00072.27,200000,9,89.0,91.9,23.1,27.2
mafft_sparsecore,PF00072.27,20000,0,87.8,91.2,6.9,8.2
mafft_sparsecore,PF00072.27,20000,1,87.9,91.8,24.6,28.1
mafft_sparsecore,PF00072.27,20000,2,87.9,91.4,23.8,27.2
mafft_sparsecore,PF00072.27,20000,3,84.8,89.2,26.9,31.7
mafft_sparsecore,PF00072.27,20000,4,88.4,90.6,15.4,17.2
mafft_sparsecore,PF00072.27,20000,5,87.9,90.9,20.8,24.5
mafft_sparsecore,PF00072.27,20000,6,86.8,90.8,17.7,20.8
mafft_sparsecore,PF00005.30,1500,9,69.6,74.9,22.7,37.3
mafft_sparsecore,PF00072.27,20000,7,89.4,92.1,26.2,30.8
mafft_sparsecore,PF00072.27,20000,8,83.6,88.1,9.2,10.0
mafft_sparsecore,PF00072.27,20000,9,88.4,91.3,19.2,22.7
mafft_sparsecore,PF00005.30,100000,3,68.8,74.6,13.8,22.7
mafft_sparsecore,PF00005.30,200000,0,65.5,73.8,4.9,8.0
mafft_sparsecore,PF00005.30,200000,1,67.8,75.8,13.8,22.7
mafft_sparsecore,PF00072.27,50000,0,85.4,89.0,26.2,30.8
mafft_sparsecore,PF00072.27,50000,1,86.1,89.3,14.6,17.2
mafft_sparsecore,PF00072.27,50000,2,89.1,91.3,28.5,33.6
mafft_sparsecore,PF00072.27,50000,3,88.3,91.3,23.1,27.2
mafft_sparsecore,PF00072.27,50000,4,88.2,91.8,30.8,36.3
mafft_sparsecore,PF00072.27,50000,5,89.2,92.3,27.7,32.7
mafft_sparsecore,PF00072.27,50000,6,89.3,92.0,24.6,29.0
mafft_sparsecore,PF00005.30,200000,2,68.6,75.5,16.4,27.0
mafft_sparsecore,PF00072.27,50000,7,86.5,90.0,16.9,19.9
mafft_sparsecore,PF00072.27,50000,8,86.7,90.8,20.0,23.6
mafft_sparsecore,PF00072.27,50000,9,88.2,90.9,23.1,26.2
mafft_sparsecore,PF00072.27,52,0,93.5,93.4,50.0,56.2
mafft_sparsecore,PF00096.29,100000,0,85.0,90.2,0.0,0.0
mafft_sparsecore,PF00096.29,100000,1,86.0,91.4,3.2,4.3
mafft_sparsecore,PF00096.29,100000,2,86.0,91.3,9.7,13.0
mafft_sparsecore,PF00096.29,100000,3,88.0,91.9,0.0,0.0
mafft_sparsecore,PF00096.29,100000,4,85.3,91.5,0.0,0.0
mafft_sparsecore,PF00096.29,100000,5,83.9,89.6,0.0,0.0
mafft_sparsecore,PF00005.30,200000,3,70.6,76.3,20.4,33.6
mafft_sparsecore,PF00096.29,100000,6,84.6,90.4,0.0,0.0
mafft_sparsecore,PF00096.29,100000,7,82.8,89.1,0.0,0.0
mafft_sparsecore,PF00096.29,100000,8,84.3,89.8,0.0,0.0
mafft_sparsecore,PF00096.29,100000,9,86.8,91.4,0.0,0.0
mafft_sparsecore,PF00096.29,10000,0,87.8,92.8,0.0,0.0
mafft_sparsecore,PF00096.29,10000,1,88.0,92.3,3.2,4.3
mafft_sparsecore,PF00096.29,10000,2,87.1,91.3,3.2,4.3
mafft_sparsecore,PF00096.29,10000,3,84.4,90.2,0.0,0.0
mafft_sparsecore,PF00096.29,10000,4,86.0,91.0,6.5,0.0
mafft_sparsecore,PF00096.29,10000,5,87.0,90.6,0.0,0.0
mafft_sparsecore,PF00005.30,200000,4,69.5,77.4,24.9,40.9
mafft_sparsecore,PF00096.29,10000,6,86.7,92.0,0.0,0.0
mafft_sparsecore,PF00096.29,10000,7,83.6,89.5,3.2,4.3
mafft_sparsecore,PF00096.29,10000,8,86.3,91.6,19.4,17.3
mafft_sparsecore,PF00096.29,10000,9,88.5,92.7,12.9,17.3
mafft_sparsecore,PF00096.29,1500,0,92.3,94.1,0.0,0.0
mafft_sparsecore,PF00096.29,1500,1,90.1,92.2,0.0,0.0
mafft_sparsecore,PF00096.29,1500,2,89.4,91.3,0.0,0.0
mafft_sparsecore,PF00096.29,1500,3,91.6,93.9,0.0,0.0
mafft_sparsecore,PF00096.29,1500,4,91.7,93.7,29.0,38.9
mafft_sparsecore,PF00096.29,1500,5,91.3,93.3,0.0,0.0
mafft_sparsecore,PF00005.30,200000,5,68.4,75.8,19.1,31.4
mafft_sparsecore,PF00096.29,1500,6,93.5,94.8,3.2,4.3
mafft_sparsecore,PF00096.29,1500,7,91.6,93.8,0.0,0.0
mafft_sparsecore,PF00096.29,1500,8,93.6,94.8,16.1,13.0
mafft_sparsecore,PF00096.29,1500,9,94.4,95.3,6.5,8.6
mafft_sparsecore,PF00096.29,159,0,95.8,95.7,29.0,34.5
mafft_sparsecore,PF00096.29,200000,0,85.5,90.7,3.2,4.3
mafft_sparsecore,PF00096.29,200000,1,84.2,89.4,0.0,0.0
mafft_sparsecore,PF00096.29,200000,2,85.9,90.6,9.7,4.3
mafft_sparsecore,PF00096.29,200000,3,85.5,91.5,9.7,4.3
mafft_sparsecore,PF00096.29,200000,4,83.3,89.4,6.5,0.0
mafft_sparsecore,PF00005.30,200000,6,68.1,76.6,16.0,26.3
mafft_sparsecore,PF00096.29,200000,5,83.7,90.0,9.7,4.3
mafft_sparsecore,PF00096.29,200000,6,85.2,90.5,0.0,0.0
mafft_sparsecore,PF00096.29,200000,7,84.9,91.0,0.0,0.0
mafft_sparsecore,PF00096.29,200000,8,86.2,91.2,0.0,0.0
mafft_sparsecore,PF00096.29,200000,9,86.1,91.8,6.5,8.6
mafft_sparsecore,PF00096.29,20000,0,84.6,89.3,0.0,0.0
mafft_sparsecore,PF00096.29,20000,1,84.5,90.2,3.2,0.0
mafft_sparsecore,PF00096.29,20000,2,87.1,92.6,3.2,4.3
mafft_sparsecore,PF00096.29,20000,3,86.7,91.8,6.5,4.3
mafft_sparsecore,PF00096.29,20000,4,83.4,88.9,0.0,0.0
mafft_sparsecore,PF00005.30,200000,7,69.4,75.8,20.0,32.9
mafft_sparsecore,PF00096.29,20000,5,82.6,88.9,0.0,0.0
mafft_sparsecore,PF00096.29,20000,6,83.8,89.6,0.0,0.0
mafft_sparsecore,PF00096.29,20000,7,82.0,88.8,3.2,4.3
mafft_sparsecore,PF00096.29,20000,8,83.3,90.0,0.0,0.0
mafft_sparsecore,PF00096.29,20000,9,86.0,91.4,0.0,0.0
mafft_sparsecore,PF00005.30,200000,8,69.4,75.7,16.4,27.0
mafft_sparsecore,PF00005.30,200000,9,69.1,76.9,17.8,29.2
mafft_sparsecore,PF00096.29,50000,0,84.9,90.6,3.2,0.0
mafft_sparsecore,PF00096.29,50000,1,87.5,92.1,0.0,0.0
mafft_sparsecore,PF00096.29,50000,2,84.8,90.9,0.0,0.0
mafft_sparsecore,PF00096.29,50000,3,85.9,91.5,3.2,4.3
mafft_sparsecore,PF00096.29,50000,4,81.9,89.5,0.0,0.0
mafft_sparsecore,PF00005.30,100000,4,70.7,77.2,21.3,35.1
mafft_sparsecore,PF00005.30,20000,0,68.7,75.2,17.3,28.5
mafft_sparsecore,PF00096.29,50000,5,87.5,91.9,9.7,4.3
mafft_sparsecore,PF00096.29,50000,6,85.1,91.6,0.0,0.0
mafft_sparsecore,PF00096.29,50000,7,85.1,90.6,3.2,4.3
mafft_sparsecore,PF00096.29,50000,8,84.3,89.4,3.2,4.3
mafft_sparsecore,PF00096.29,50000,9,86.8,91.2,0.0,0.0
mafft_sparsecore,PF00400.35,100000,0,3.8,4.1,0.0,0.0
mafft_sparsecore,PF00400.35,100000,1,5.8,6.1,0.0,0.0
mafft_sparsecore,PF00400.35,100000,2,5.1,5.5,0.0,0.0
mafft_sparsecore,PF00400.35,100000,3,6.3,6.6,0.0,0.0
mafft_sparsecore,PF00400.35,100000,4,6.0,6.3,0.0,0.0
mafft_sparsecore,PF00005.30,20000,1,68.0,74.7,13.8,22.7
mafft_sparsecore,PF00400.35,100000,5,5.4,5.7,0.0,0.0
mafft_sparsecore,PF00400.35,100000,6,5.2,5.5,0.0,0.0
mafft_sparsecore,PF00400.35,100000,7,5.5,5.8,0.8,0.0
mafft_sparsecore,PF00400.35,100000,8,5.5,5.8,0.0,0.0
mafft_sparsecore,PF00400.35,100000,9,6.3,6.6,0.0,0.0
mafft_sparsecore,PF00400.35,10000,0,4.9,5.1,0.0,0.0
mafft_sparsecore,PF00400.35,10000,1,4.7,5.0,0.0,0.0
mafft_sparsecore,PF00400.35,10000,2,5.1,5.4,0.0,0.0
mafft_sparsecore,PF00400.35,10000,3,4.8,5.1,0.0,0.0
mafft_sparsecore,PF00400.35,10000,4,3.5,3.7,0.0,0.0
mafft_sparsecore,PF00005.30,20000,2,66.2,74.7,22.7,37.3
mafft_sparsecore,PF00400.35,10000,5,5.4,5.7,0.0,0.0
mafft_sparsecore,PF00400.35,10000,6,4.7,5.0,0.0,0.0
mafft_sparsecore,PF00400.35,10000,7,4.7,5.0,0.0,0.0
mafft_sparsecore,PF00400.35,10000,8,4.5,4.8,0.0,0.0
mafft_sparsecore,PF00400.35,10000,9,6.7,7.0,0.0,0.0
mafft_sparsecore,PF00400.35,1465,0,7.5,7.7,0.0,0.0
mafft_sparsecore,PF00400.35,1500,0,7.6,7.7,0.0,0.0
mafft_sparsecore,PF00400.35,1500,1,7.0,7.2,0.0,0.0
mafft_sparsecore,PF00400.35,1500,2,7.1,7.3,0.0,0.0
mafft_sparsecore,PF00400.35,1500,3,7.3,7.4,0.0,0.0
mafft_sparsecore,PF00005.30,20000,3,66.9,75.7,16.0,26.3
mafft_sparsecore,PF00400.35,1500,4,7.7,7.9,0.0,0.0
mafft_sparsecore,PF00400.35,1500,5,7.5,7.7,0.0,0.0
mafft_sparsecore,PF00400.35,1500,6,7.6,7.9,0.0,0.0
mafft_sparsecore,PF00400.35,1500,7,8.2,8.4,0.0,0.0
mafft_sparsecore,PF00400.35,1500,8,7.8,7.9,0.0,0.0
mafft_sparsecore,PF00400.35,1500,9,7.4,7.7,0.0,0.0
mafft_sparsecore,PF00400.35,200000,0,6.3,6.7,0.0,0.0
mafft_sparsecore,PF00400.35,200000,1,7.8,8.1,0.0,0.0
mafft_sparsecore,PF00400.35,200000,2,6.0,6.4,0.0,0.0
mafft_sparsecore,PF00400.35,200000,3,6.0,6.4,0.0,0.0
mafft_sparsecore,PF00005.30,20000,4,71.6,76.7,20.9,34.4
mafft_sparsecore,PF00400.35,200000,4,7.1,7.4,0.0,0.0
mafft_sparsecore,PF00400.35,200000,5,6.7,7.1,0.0,0.0
mafft_sparsecore,PF00400.35,200000,6,6.3,6.6,0.0,0.0
mafft_sparsecore,PF00400.35,200000,7,6.5,6.9,1.7,0.0
mafft_sparsecore,PF00400.35,200000,8,6.5,6.8,0.0,0.0
mafft_sparsecore,PF00400.35,200000,9,7.0,7.3,0.8,0.0
mafft_sparsecore,PF00400.35,20000,0,4.9,5.2,0.0,0.0
mafft_sparsecore,PF00400.35,20000,1,4.1,4.5,1.7,0.0
mafft_sparsecore,PF00400.35,20000,2,2.5,2.7,0.0,0.0
mafft_sparsecore,PF00400.35,20000,3,6.1,6.4,0.0,0.0
mafft_sparsecore,PF00005.30,20000,5,68.7,77.0,16.0,26.3
mafft_sparsecore,PF00400.35,20000,4,3.8,4.1,0.0,0.0
mafft_sparsecore,PF00400.35,20000,5,4.5,4.7,0.0,0.0
mafft_sparsecore,PF00400.35,20000,6,5.0,5.3,0.0,0.0
mafft_sparsecore,PF00400.35,20000,7,5.3,5.6,0.0,0.0
mafft_sparsecore,PF00400.35,20000,8,5.7,6.0,0.0,0.0
mafft_sparsecore,PF00400.35,20000,9,2.8,3.0,0.0,0.0
mafft_sparsecore,PF00005.30,20000,6,68.0,75.3,18.2,30.0
mafft_sparsecore,PF00005.30,20000,7,68.2,74.7,16.4,27.0
mafft_sparsecore,PF00400.35,50000,0,6.7,7.0,0.0,0.0
mafft_sparsecore,PF00400.35,50000,1,5.2,5.5,0.0,0.0
mafft_sparsecore,PF00400.35,50000,2,2.9,3.2,0.0,0.0
mafft_sparsecore,PF00400.35,50000,3,6.5,6.9,0.0,0.0
mafft_sparsecore,PF00005.30,20000,8,68.8,76.0,16.4,27.0
mafft_sparsecore,PF00400.35,50000,4,5.4,5.7,0.0,0.0
mafft_sparsecore,PF00400.35,50000,5,4.3,4.6,0.0,0.0
mafft_sparsecore,PF00400.35,50000,6,3.5,3.7,0.0,0.0
mafft_sparsecore,PF00400.35,50000,7,5.8,6.1,0.0,0.0
mafft_sparsecore,PF00400.35,50000,8,5.8,6.1,0.0,0.0
mafft_sparsecore,PF00400.35,50000,9,7.9,8.3,0.0,0.0
mafft_sparsecore,PF07679.19,100000,0,88.5,90.5,37.0,41.7
mafft_sparsecore,PF07679.19,100000,1,89.3,92.5,33.0,37.2
mafft_sparsecore,PF07679.19,100000,2,89.4,92.0,41.0,46.3
mafft_sparsecore,PF07679.19,100000,3,86.7,90.7,30.0,33.8
mafft_sparsecore,PF00005.30,20000,9,69.3,76.4,24.4,40.2
mafft_sparsecore,PF07679.19,100000,4,87.6,90.9,29.0,32.7
mafft_sparsecore,PF07679.19,100000,5,87.0,89.6,32.0,36.1
mafft_sparsecore,PF07679.19,100000,6,85.7,89.5,25.0,28.2
mafft_sparsecore,PF07679.19,100000,7,87.4,90.8,30.0,33.8
mafft_sparsecore,PF07679.19,100000,8,87.2,90.4,34.0,38.4
mafft_sparsecore,PF07679.19,100000,9,87.5,90.5,33.0,37.2
mafft_sparsecore,PF07679.19,10000,0,86.6,89.6,27.0,30.5
mafft_sparsecore,PF07679.19,10000,1,88.3,90.1,30.0,33.8
mafft_sparsecore,PF07679.19,10000,2,89.2,91.1,32.0,36.1
mafft_sparsecore,PF07679.19,10000,3,86.5,89.5,16.0,18.1
mafft_sparsecore,PF00005.30,100000,5,68.6,74.6,12.4,20.5
mafft_sparsecore,PF07679.19,10000,4,88.7,91.2,42.0,47.4
mafft_sparsecore,PF07679.19,10000,5,88.6,91.1,33.0,37.2
mafft_sparsecore,PF07679.19,10000,6,87.1,89.5,32.0,36.1
mafft_sparsecore,PF07679.19,10000,7,88.1,91.4,33.0,37.2
mafft_sparsecore,PF07679.19,10000,8,87.9,90.9,36.0,40.6
mafft_sparsecore,PF07679.19,10000,9,87.8,91.7,39.0,44.0
mafft_sparsecore,PF07679.19,1500,0,90.2,91.5,19.0,21.4
mafft_sparsecore,PF07679.19,1500,1,87.8,90.7,0.0,0.0
mafft_sparsecore,PF07679.19,1500,2,91.9,93.4,37.0,41.7
mafft_sparsecore,PF07679.19,1500,3,91.7,92.7,34.0,38.4
mafft_sparsecore,PF07679.19,1500,4,92.1,92.9,43.0,48.5
mafft_sparsecore,PF07679.19,1500,5,91.7,92.6,41.0,46.2
mafft_sparsecore,PF07679.19,1500,6,90.5,92.2,21.0,23.7
mafft_sparsecore,PF07679.19,1500,7,87.5,89.9,17.0,19.2
mafft_sparsecore,PF07679.19,1500,8,89.6,91.6,27.0,30.5
mafft_sparsecore,PF07679.19,1500,9,90.7,92.1,30.0,33.8
mafft_sparsecore,PF07679.19,200000,0,87.5,91.4,27.0,30.5
mafft_sparsecore,PF07679.19,200000,1,84.4,89.4,26.0,29.3
mafft_sparsecore,PF07679.19,200000,2,86.9,90.2,38.0,42.9
mafft_sparsecore,PF07679.19,200000,3,88.7,91.0,36.0,40.6
mafft_sparsecore,PF07679.19,200000,4,89.7,92.1,42.0,47.4
mafft_sparsecore,PF07679.19,200000,5,87.2,90.8,28.0,31.6
mafft_sparsecore,PF07679.19,200000,6,87.1,90.1,23.0,25.9
mafft_sparsecore,PF07679.19,200000,7,87.0,89.8,23.0,25.9
mafft_sparsecore,PF07679.19,200000,8,87.0,91.5,26.0,29.3
mafft_sparsecore,PF07679.19,200000,9,87.2,90.8,35.0,39.5
mafft_sparsecore,PF07679.19,20000,0,88.7,91.3,37.0,41.7
mafft_sparsecore,PF07679.19,20000,1,85.7,89.5,28.0,31.6
mafft_sparsecore,PF07679.19,20000,2,86.5,89.4,18.0,20.3
mafft_sparsecore,PF07679.19,20000,3,86.3,89.9,27.0,30.5
mafft_sparsecore,PF07679.19,20000,4,86.3,90.6,37.0,41.7
mafft_sparsecore,PF07679.19,20000,5,86.3,90.1,25.0,28.2
mafft_sparsecore,PF07679.19,20000,6,86.1,89.8,31.0,35.0
mafft_sparsecore,PF07679.19,20000,7,87.9,90.5,35.0,39.5
mafft_sparsecore,PF07679.19,20000,8,86.6,90.2,18.0,20.3
mafft_sparsecore,PF07679.19,20000,9,86.9,90.3,32.0,36.1
mafft_sparsecore,PF07679.19,48,0,94.2,94.0,55.0,62.0
mafft_sparsecore,PF07679.19,50000,0,88.8,92.2,37.0,41.7
mafft_sparsecore,PF07679.19,50000,1,87.5,90.7,20.0,22.6
mafft_sparsecore,PF07679.19,50000,2,89.5,90.6,37.0,41.7
mafft_sparsecore,PF07679.19,50000,3,85.9,89.2,33.0,37.2
mafft_sparsecore,PF07679.19,50000,4,87.9,90.7,35.0,39.4
mafft_sparsecore,PF07679.19,50000,5,87.7,90.6,33.0,37.2
mafft_sparsecore,PF07679.19,50000,6,87.4,90.8,32.0,36.1
mafft_sparsecore,PF07679.19,50000,7,86.3,89.6,21.0,23.7
mafft_sparsecore,PF07679.19,50000,8,86.7,91.1,32.0,36.1
mafft_sparsecore,PF07679.19,50000,9,88.1,90.7,29.0,32.7
mafft_sparsecore,PF07690.19,100000,0,17.0,31.2,0.0,0.0
mafft_sparsecore,PF07690.19,100000,1,19.3,34.3,0.0,0.0
mafft_sparsecore,PF07690.19,100000,2,16.0,30.9,0.0,0.0
mafft_sparsecore,PF07690.19,100000,3,18.0,33.0,0.0,0.0
mafft_sparsecore,PF07690.19,100000,4,17.6,32.5,0.0,0.0
mafft_sparsecore,PF07690.19,100000,5,18.4,33.0,0.0,0.0
mafft_sparsecore,PF07690.19,100000,6,17.9,32.5,0.0,0.0
mafft_sparsecore,PF07690.19,100000,7,18.5,33.4,0.0,0.0
mafft_sparsecore,PF07690.19,100000,8,17.7,32.7,0.0,0.0
mafft_sparsecore,PF07690.19,100000,9,18.4,33.3,0.0,0.0
mafft_sparsecore,PF07690.19,10000,0,17.7,30.4,0.1,0.0
mafft_sparsecore,PF07690.19,10000,1,20.3,31.7,0.0,0.0
mafft_sparsecore,PF07690.19,10000,2,19.9,31.4,0.0,0.0
mafft_sparsecore,PF07690.19,10000,3,19.4,31.7,0.0,0.0
mafft_sparsecore,PF07690.19,10000,4,20.0,31.3,0.0,0.0
mafft_sparsecore,PF07690.19,10000,5,18.3,29.5,0.0,0.0
mafft_sparsecore,PF07690.19,10000,6,16.9,27.5,0.0,0.0
mafft_sparsecore,PF07690.19,10000,7,19.2,30.3,0.0,0.0
mafft_sparsecore,PF07690.19,10000,8,19.6,31.8,0.0,0.0
mafft_sparsecore,PF07690.19,10000,9,20.5,32.3,0.3,0.0
mafft_sparsecore,PF07690.19,1500,0,37.3,44.3,0.0,0.0
mafft_sparsecore,PF07690.19,1500,1,34.6,42.8,0.1,0.0
mafft_sparsecore,PF07690.19,1500,2,36.4,43.8,0.1,0.0
mafft_sparsecore,PF07690.19,1500,3,38.5,44.7,0.0,0.0
mafft_sparsecore,PF07690.19,1500,4,38.1,44.8,0.0,0.0
mafft_sparsecore,PF07690.19,1500,5,35.1,42.8,0.0,0.0
mafft_sparsecore,PF07690.19,1500,6,37.2,43.9,0.0,0.0
mafft_sparsecore,PF07690.19,1500,7,37.2,44.3,0.0,0.0
mafft_sparsecore,PF07690.19,1500,8,37.6,44.9,0.0,0.0
mafft_sparsecore,PF07690.19,1500,9,37.5,44.2,0.0,0.0
mafft_sparsecore,PF07690.19,192,0,55.5,56.9,0.1,0.0
mafft_sparsecore,PF00005.30,100000,6,66.7,74.8,19.6,32.2
mafft_sparsecore,PF07690.19,20000,0,18.9,31.2,0.0,0.0
mafft_sparsecore,PF07690.19,20000,1,18.9,30.9,0.0,0.0
mafft_sparsecore,PF07690.19,20000,2,17.1,29.0,0.0,0.0
mafft_sparsecore,PF07690.19,20000,3,20.0,31.9,0.0,0.0
mafft_sparsecore,PF07690.19,20000,4,15.9,27.9,0.0,0.0
mafft_sparsecore,PF07690.19,20000,5,19.5,32.2,0.0,0.0
mafft_sparsecore,PF07690.19,20000,6,17.9,29.6,0.0,0.0
mafft_sparsecore,PF07690.19,20000,7,18.5,30.8,0.0,0.0
mafft_sparsecore,PF07690.19,20000,8,18.6,31.0,0.0,0.0
mafft_sparsecore,PF07690.19,20000,9,16.6,28.9,0.0,0.0
mafft_sparsecore,PF07690.19,50000,0,16.7,30.6,1.3,0.0
mafft_sparsecore,PF07690.19,50000,1,19.6,33.7,0.0,0.0
mafft_sparsecore,PF07690.19,50000,2,20.1,34.2,0.3,0.0
mafft_sparsecore,PF07690.19,50000,3,15.8,30.1,0.0,0.0
mafft_sparsecore,PF07690.19,50000,4,17.4,31.0,0.0,0.0
mafft_sparsecore,PF07690.19,50000,5,17.9,32.3,0.0,0.0
mafft_sparsecore,PF07690.19,50000,6,17.4,30.9,0.6,0.0
mafft_sparsecore,PF07690.19,50000,7,19.8,34.0,0.0,0.0
mafft_sparsecore,PF07690.19,50000,8,17.4,31.8,0.1,0.0
mafft_sparsecore,PF07690.19,50000,9,17.7,31.1,0.0,0.0
mafft_sparsecore,PF12796.10,100000,0,26.0,36.5,0.0,0.0
mafft_sparsecore,PF12796.10,100000,1,25.1,35.0,0.0,0.0
mafft_sparsecore,PF12796.10,100000,2,27.7,37.5,0.0,0.0
mafft_sparsecore,PF12796.10,100000,3,29.9,39.1,0.0,0.0
mafft_sparsecore,PF12796.10,100000,4,26.9,38.0,0.0,0.0
mafft_sparsecore,PF12796.10,100000,5,25.9,35.5,0.0,0.0
mafft_sparsecore,PF12796.10,100000,6,28.7,39.9,0.0,0.0
mafft_sparsecore,PF12796.10,100000,7,31.4,40.3,0.0,0.0
mafft_sparsecore,PF12796.10,100000,8,21.8,31.4,0.0,0.0
mafft_sparsecore,PF12796.10,100000,9,30.0,40.3,0.0,0.0
mafft_sparsecore,PF12796.10,10000,0,32.3,40.3,0.0,0.0
mafft_sparsecore,PF12796.10,10000,1,34.6,43.9,0.0,0.0
mafft_sparsecore,PF12796.10,10000,2,33.4,41.6,0.0,0.0
mafft_sparsecore,PF12796.10,10000,3,33.3,42.7,0.0,0.0
mafft_sparsecore,PF12796.10,10000,4,38.3,46.3,0.0,0.0
mafft_sparsecore,PF12796.10,10000,5,34.5,43.7,0.0,0.0
mafft_sparsecore,PF12796.10,10000,6,33.1,41.1,0.0,0.0
mafft_sparsecore,PF12796.10,10000,7,37.7,46.4,0.0,0.0
mafft_sparsecore,PF12796.10,10000,8,37.1,44.6,0.0,0.0
mafft_sparsecore,PF12796.10,10000,9,37.3,46.1,0.0,0.0
mafft_sparsecore,PF12796.10,1500,0,59.3,58.2,0.0,0.0
mafft_sparsecore,PF12796.10,1500,1,61.2,59.9,0.0,0.0
mafft_sparsecore,PF12796.10,1500,2,59.7,58.3,0.0,0.0
mafft_sparsecore,PF12796.10,1500,3,58.0,57.2,0.0,0.0
mafft_sparsecore,PF12796.10,1500,4,58.8,57.8,0.0,0.0
mafft_sparsecore,PF12796.10,1500,5,59.3,58.2,0.0,0.0
mafft_sparsecore,PF12796.10,1500,6,59.7,59.1,0.0,0.0
mafft_sparsecore,PF12796.10,1500,7,60.4,58.8,0.0,0.0
mafft_sparsecore,PF12796.10,1500,8,61.3,59.6,0.0,0.0
mafft_sparsecore,PF12796.10,1500,9,63.9,61.0,0.0,0.0
mafft_sparsecore,PF12796.10,184,0,74.9,65.7,1.8,5.2
mafft_sparsecore,PF12796.10,200000,0,25.1,34.9,0.0,0.0
mafft_sparsecore,PF12796.10,200000,1,24.5,34.5,0.0,0.0
mafft_sparsecore,PF12796.10,200000,2,28.2,38.6,0.0,0.0
mafft_sparsecore,PF12796.10,200000,3,30.4,41.5,0.0,0.0
mafft_sparsecore,PF12796.10,200000,4,28.5,39.2,0.0,0.0
mafft_sparsecore,PF12796.10,200000,6,21.5,33.4,0.0,0.0
mafft_sparsecore,PF12796.10,200000,7,27.7,37.6,0.0,0.0
mafft_sparsecore,PF12796.10,200000,8,24.1,34.5,0.0,0.0
mafft_sparsecore,PF12796.10,20000,0,30.8,40.1,0.0,0.0
mafft_sparsecore,PF12796.10,20000,1,33.9,42.6,0.0,0.0
mafft_sparsecore,PF12796.10,20000,2,27.7,38.1,0.0,0.0
mafft_sparsecore,PF12796.10,20000,3,31.1,41.4,0.0,0.0
mafft_sparsecore,PF12796.10,20000,4,33.4,41.3,0.0,0.0
mafft_sparsecore,PF12796.10,20000,5,30.0,40.3,0.0,0.0
mafft_sparsecore,PF12796.10,20000,6,30.9,39.3,0.0,0.0
mafft_sparsecore,PF12796.10,20000,7,34.3,45.5,0.0,0.0
mafft_sparsecore,PF12796.10,20000,8,34.3,43.3,0.0,0.0
mafft_sparsecore,PF12796.10,20000,9,33.8,42.6,0.0,0.0
mafft_sparsecore,PF00005.30,100000,7,69.1,76.1,16.4,27.0
mafft_sparsecore,PF00005.30,50000,0,69.0,75.3,16.9,27.8
mafft_sparsecore,PF00005.30,50000,1,68.6,75.7,16.0,26.3
mafft_sparsecore,PF12796.10,50000,0,25.9,36.2,0.9,0.0
mafft_sparsecore,PF00005.30,50000,2,69.0,76.3,17.3,28.5
mafft_sparsecore,PF12796.10,50000,1,33.2,42.1,0.0,0.0
mafft_sparsecore,PF12796.10,50000,2,28.8,38.9,0.0,0.0
mafft_sparsecore,PF12796.10,50000,3,28.2,37.8,0.0,0.0
mafft_sparsecore,PF12796.10,50000,4,28.1,38.0,0.0,0.0
mafft_sparsecore,PF12796.10,50000,5,29.4,39.6,0.0,0.0
mafft_sparsecore,PF12796.10,50000,6,28.3,39.1,0.0,0.0
mafft_sparsecore,PF12796.10,50000,7,33.3,43.9,0.0,0.0
mafft_sparsecore,PF12796.10,50000,8,30.8,41.0,0.0,0.0
mafft_sparsecore,PF12796.10,50000,9,25.8,36.1,0.0,0.0
mafft_sparsecore,PF13855.9,100000,0,58.7,71.8,0.0,0.0
mafft_sparsecore,PF00005.30,50000,3,67.0,74.7,14.7,24.1
